,event_date,longitude,latitude,treecover2000
116,2007-06-11 00:00:00,113.247,22.76,0
117,2007-06-17 00:00:00,112.188,31.2912,26
118,2007-06-24 00:00:00,120.4256,23.4535,0
119,2007-06-25 00:00:00,75.8275,11.2738,48
120,2007-06-25 00:00:00,76.074,11.7095,83
121,2007-06-25 00:00:00,72.9104,19.0298,25
122,2007-06-25 00:00:00,78.0501,15.8294,0
123,2007-06-25 00:00:00,80.6128,16.6252,0
124,2007-06-25 00:00:00,73.5189,16.9648,11
125,2007-06-25 00:00:00,79.1492,18.431,0
126,2007-06-27 00:00:00,-78.148,-0.356,58
127,2007-06-28 00:00:00,121.553,38.9325,0
128,2007-07-01 00:00:00,107.293,21.0233,0
129,2007-07-01 00:00:00,-97.2688,32.7995,0
130,2007-07-02 00:00:00,73.8319,34.5625,0
131,2007-07-03 00:00:00,9.398,60.4279,85
132,2007-07-03 00:00:00,130.5149,31.572,48
133,2007-07-04 00:00:00,-96.8229,18.5369,59
134,2007-07-05 00:00:00,83.6099,28.1952,0
135,2007-07-05 00:00:00,-0.4367,51.3681,47
136,2007-07-08 00:00:00,-75.6896,45.4257,0
137,2007-07-10 00:00:00,125.4498,7.8098,85
138,2007-07-13 00:00:00,125.5593,8.9697,87
139,2007-07-13 23:00:00,-69.914,18.4757,0
140,2007-07-17 00:00:00,-5.9506,54.8226,89
141,2007-07-17 00:00:00,-123.8203,46.1836,87
142,2007-07-19 00:00:00,98.4667,25.0333,66
143,2007-07-19 00:00:00,91.7986,26.1699,47
144,2007-07-20 00:00:00,-1.3166,51.4536,0
145,2007-07-22 00:00:00,98.4802,25.1424,47
146,2007-07-24 00:00:00,-97.0317,32.7883,0
147,2007-07-25 00:00:00,-152.4346,57.7856,0
148,2007-07-25 00:00:00,-156.0898,20.6479,88
149,2007-07-26 00:00:00,91.88,25.38,78
150,2007-07-28 00:00:00,120.413,0.777,0
151,2007-07-28 00:00:00,73.8277,15.4014,0
152,2007-07-28 00:00:00,83.2519,28.0764,71
153,2007-07-30 00:00:00,78.439,30.733,0
154,2007-08-02 00:00:00,87.2758,26.4596,0
155,2007-08-02 00:00:00,123.8897,10.3658,90
156,2007-08-03 00:00:00,83.529,27.9271,79
157,2007-08-04 00:00:00,114.2584,30.6018,0
158,2007-08-04 00:00:00,120.6794,16.3922,76
159,2007-08-06 00:00:00,-2.2651,57.6778,61
160,2007-08-06 00:00:00,-2.0885,60.1346,0
161,2007-08-06 12:10:00,126.0356157,7.365123589,45
162,2007-08-07 00:00:00,74.0253,15.0296,59
163,2007-08-07 00:00:00,109.0241,32.677,0
164,2007-08-08 00:00:00,120.5763,16.4357,64
165,2007-08-08 00:00:00,94.4332,21.5332,0
166,2007-08-09 00:00:00,98.6333,14.7333,45
167,2007-08-09 00:00:00,-90.45,14.5667,97
168,2007-08-09 00:00:00,74.8481,12.8733,52
169,2007-08-10 00:00:00,86.85,27.016,53
170,2007-08-10 00:00:00,145.5473,-41.7689,90
