event_date,longitude,latitude,landslide_size
2007-05-25 00:00:00,101.5333,28.9973,medium
2007-05-27 00:00:00,-1.1957,50.6297,small
2007-05-28 00:00:00,-128.5677,54.5121,large
2007-05-28 00:00:00,43.3948,38.5035,medium
2007-06-01 00:00:00,-105.8752,40.0929,medium
2007-06-11 00:00:00,118.288,25.934,medium
2007-06-11 00:00:00,102.8667,28.0333,medium
2007-06-11 00:00:00,111.792,26.443,medium
2007-06-11 00:00:00,116.036,27.278,medium
2007-06-11 00:00:00,113.493,22.854,medium
2007-06-11 00:00:00,113.247,22.76,medium
2007-06-17 00:00:00,112.188,31.2912,medium
2007-06-24 00:00:00,120.4256,23.4535,medium
2007-06-25 00:00:00,75.8275,11.2738,medium
2007-06-25 00:00:00,76.074,11.7095,large
2007-06-25 00:00:00,72.9104,19.0298,medium
2007-06-25 00:00:00,78.0501,15.8294,medium
2007-06-25 00:00:00,80.6128,16.6252,medium
2007-06-25 00:00:00,73.5189,16.9648,medium
2007-06-25 00:00:00,79.1492,18.431,medium
2007-06-27 00:00:00,-78.148,-0.356,medium
2007-06-28 00:00:00,121.553,38.9325,small
2007-07-01 00:00:00,107.293,21.0233,medium
2007-07-01 00:00:00,-97.2688,32.7995,medium
2007-07-02 00:00:00,73.8319,34.5625,large
2007-07-03 00:00:00,9.398,60.4279,medium
2007-07-03 00:00:00,130.5149,31.572,medium
2007-07-04 00:00:00,-96.8229,18.5369,medium
2007-07-05 00:00:00,83.6099,28.1952,medium
2007-07-05 00:00:00,-0.4367,51.3681,small
2007-07-08 00:00:00,-75.6896,45.4257,small
2007-07-10 00:00:00,125.4498,7.8098,medium
2007-07-13 00:00:00,125.5593,8.9697,medium
2007-07-13 23:00:00,-69.914,18.4757,small
2007-07-17 00:00:00,-5.9506,54.8226,small
2007-07-17 00:00:00,-123.8203,46.1836,small
2007-07-19 00:00:00,98.4667,25.0333,large
2007-07-19 00:00:00,91.7986,26.1699,medium
2007-07-20 00:00:00,-1.3166,51.4536,small
2007-07-22 00:00:00,98.4802,25.1424,medium
2007-07-24 00:00:00,-97.0317,32.7883,small
2007-07-25 00:00:00,-152.4346,57.7856,medium
2007-07-25 00:00:00,-156.0898,20.6479,small
2007-07-26 00:00:00,91.88,25.38,medium
2007-07-28 00:00:00,120.413,0.777,medium
2007-07-28 00:00:00,73.8277,15.4014,medium
2007-07-28 00:00:00,83.2519,28.0764,medium
2007-07-30 00:00:00,78.439,30.733,medium
2007-08-02 00:00:00,87.2758,26.4596,medium
2007-08-02 00:00:00,123.8897,10.3658,medium
2007-08-03 00:00:00,83.529,27.9271,medium
2007-08-04 00:00:00,114.2584,30.6018,medium
2007-08-04 00:00:00,120.6794,16.3922,medium
2007-08-06 00:00:00,-2.2651,57.6778,medium
2007-08-06 00:00:00,-2.0885,60.1346,medium
2007-08-06 12:10:00,126.0356157,7.365123589,large
2007-08-07 00:00:00,74.0253,15.0296,medium
2007-08-07 00:00:00,109.0241,32.677,medium
2007-08-08 00:00:00,120.5763,16.4357,medium
2007-08-08 00:00:00,94.4332,21.5332,medium
2007-08-09 00:00:00,98.6333,14.7333,medium
2007-08-09 00:00:00,-90.45,14.5667,medium
2007-08-09 00:00:00,74.8481,12.8733,medium
