event_date,longitude,latitude,population_density_2015
2007-04-06 00:00:00,-79.916,40.4377,1644.87353515625
2007-04-11 00:00:00,88.6193,27.4459,42.38448333740234
2007-04-13 00:00:00,-1.2144,41.8741,19.44793701171875
2007-04-13 00:00:00,-79.9468,40.4267,867.265869140625
2007-04-14 00:00:00,-73.7771,45.3226,98.04974365234376
2007-04-15 00:00:00,-82.4931,37.4325,105.99504852294922
2007-04-17 00:00:00,68.214,38.533,599.6651000976562
2007-04-20 00:00:00,-82.5186,37.4814,1919.822998046875
2007-04-21 00:00:00,110.4167,-6.9667,4589.02685546875
2007-04-23 00:00:00,-2.301,37.3385,139.6714630126953
2007-04-24 00:00:00,-96.4576,42.4941,346.0572204589844
2007-05-01 00:00:00,118.8947,-2.6857,54.86203002929688
2007-05-05 00:00:00,178.25,-17.56,26.91206932067871
2007-05-19 00:00:00,23.6083,43.1083,93.84049987792967
2007-05-20 00:00:00,23.2109,42.6452,1010.49755859375
2007-05-21 00:00:00,-75.6941,4.8081,764.396484375
2007-05-23 00:00:00,88.6069,27.3383,418.1595458984375
2007-05-25 00:00:00,105.2333,33.9334,303.4748229980469
2007-05-25 00:00:00,101.5333,28.9973,22.05316925048828
2007-05-27 00:00:00,-1.1957,50.6297,743.1484375
2007-05-28 00:00:00,-128.5677,54.5121,189.0458526611328
2007-05-28 00:00:00,43.3948,38.5035,275.9830017089844
2007-06-01 00:00:00,-105.8752,40.0929,5.682354927062988
2007-06-11 00:00:00,118.288,25.934,73.86135864257812
2007-06-11 00:00:00,102.8667,28.0333,153.04537963867188
2007-06-11 00:00:00,111.792,26.443,262.7147827148437
2007-06-11 00:00:00,116.036,27.278,48.28326416015625
2007-06-11 00:00:00,113.493,22.854,759.9686889648438
2007-06-11 00:00:00,113.247,22.76,4147.88623046875
2007-06-17 00:00:00,112.188,31.2912,107.8077621459961
2007-06-24 00:00:00,120.4256,23.4535,1065.7913818359375
2007-06-25 00:00:00,75.8275,11.2738,1759.77197265625
2007-06-25 00:00:00,76.074,11.7095,332.87261962890625
2007-06-25 00:00:00,72.9104,19.0298,27315.7578125
2007-06-25 00:00:00,78.0501,15.8294,1124.9097900390625
2007-06-25 00:00:00,80.6128,16.6252,513.5173950195312
2007-06-25 00:00:00,73.5189,16.9648,162.80752563476562
2007-06-25 00:00:00,79.1492,18.431,1832.50732421875
2007-06-27 00:00:00,-78.148,-0.356,3.7917611598968506
2007-06-28 00:00:00,121.553,38.9325,58500.47265625
2007-07-01 00:00:00,107.293,21.0233,507.7560119628906
2007-07-01 00:00:00,-97.2688,32.7995,937.7553100585938
2007-07-02 00:00:00,73.8319,34.5625,39.50877380371094
2007-07-03 00:00:00,9.398,60.4279,1.426581859588623
2007-07-03 00:00:00,130.5149,31.572,1052.03369140625
2007-07-04 00:00:00,-96.8229,18.5369,79.69837951660156
2007-07-05 00:00:00,83.6099,28.1952,272.05633544921875
2007-07-05 00:00:00,-0.4367,51.3681,3835.438232421875
2007-07-08 00:00:00,-75.6896,45.4257,10738.2421875
2007-07-10 00:00:00,125.4498,7.8098,17.417863845825195
2007-07-13 00:00:00,125.5593,8.9697,7780.1953125
2007-07-13 23:00:00,-69.914,18.4757,11868.541015625
2007-07-17 00:00:00,-5.9506,54.8226,24.913707733154297
2007-07-17 00:00:00,-123.8203,46.1836,497.4007568359375
2007-07-19 00:00:00,98.4667,25.0333,190.0432281494141
2007-07-19 00:00:00,91.7986,26.1699,4020.50390625
2007-07-20 00:00:00,-1.3166,51.4536,161.5222625732422
2007-07-22 00:00:00,98.4802,25.1424,343.4105224609375
2007-07-24 00:00:00,-97.0317,32.7883,453.822265625
2007-07-25 00:00:00,-152.4346,57.7856,0.0
2007-07-25 00:00:00,-156.0898,20.6479,4.711569786071777
2007-07-26 00:00:00,91.88,25.38,149.1983184814453
2007-07-28 00:00:00,120.413,0.777,65.38084411621094
2007-07-28 00:00:00,73.8277,15.4014,2123.9140625
2007-07-28 00:00:00,83.2519,28.0764,255.30992126464844
2007-07-30 00:00:00,78.439,30.733,23.14177894592285
2007-08-02 00:00:00,87.2758,26.4596,3375.6455078125
2007-08-02 00:00:00,123.8897,10.3658,2229.449951171875
2007-08-03 00:00:00,83.529,27.9271,200.1497344970703
