event_date,longitude,latitude,temp
2007-06-11 00:00:00,113.247,22.76,28.0
2007-06-17 00:00:00,112.188,31.2912,27.6
2007-06-24 00:00:00,120.4256,23.4535,30.5
2007-06-25 00:00:00,75.8275,11.2738,26.5
2007-06-25 00:00:00,76.074,11.7095,26.5
2007-06-25 00:00:00,72.9104,19.0298,28.8
2007-06-25 00:00:00,78.0501,15.8294,28.1
2007-06-25 00:00:00,80.6128,16.6252,30.4
2007-06-25 00:00:00,73.5189,16.9648,27.8
2007-06-25 00:00:00,79.1492,18.431,28.0
2007-06-27 00:00:00,-78.148,-0.356,14.7
2007-06-28 00:00:00,121.553,38.9325,20.7
2007-07-01 00:00:00,107.293,21.0233,26.2
2007-07-01 00:00:00,-97.2688,32.7995,24.6
2007-07-02 00:00:00,73.8319,34.5625,23.1
2007-07-03 00:00:00,9.398,60.4279,12.6
2007-07-03 00:00:00,130.5149,31.572,25.6
2007-07-04 00:00:00,-96.8229,18.5369,22.3
2007-07-05 00:00:00,83.6099,28.1952,30.5
2007-07-05 00:00:00,-0.4367,51.3681,15.8
2007-07-08 00:00:00,-75.6896,45.4257,18.4
2007-07-10 00:00:00,125.4498,7.8098,26.7
2007-07-13 00:00:00,125.5593,8.9697,29.5
2007-07-13 23:00:00,-69.914,18.4757,28.0
2007-07-17 00:00:00,-5.9506,54.8226,14.7
2007-07-17 00:00:00,-123.8203,46.1836,17.3
2007-07-19 00:00:00,98.4667,25.0333,19.1
2007-07-19 00:00:00,91.7986,26.1699,29.0
2007-07-20 00:00:00,-1.3166,51.4536,14.3
2007-07-22 00:00:00,98.4802,25.1424,19.6
2007-07-24 00:00:00,-97.0317,32.7883,26.6
2007-07-25 00:00:00,-152.4346,57.7856,11.0
2007-07-25 00:00:00,-156.0898,20.6479,26.1
2007-07-26 00:00:00,91.88,25.38,24.9
2007-07-28 00:00:00,120.413,0.777,27.0
2007-07-28 00:00:00,73.8277,15.4014,25.4
2007-07-28 00:00:00,83.2519,28.0764,26.3
2007-07-30 00:00:00,78.439,30.733,25.0
2007-08-02 00:00:00,87.2758,26.4596,25.1
2007-08-02 00:00:00,123.8897,10.3658,26.7
2007-08-03 00:00:00,83.529,27.9271,30.0
2007-08-04 00:00:00,114.2584,30.6018,26.7
2007-08-04 00:00:00,120.6794,16.3922,20.0
2007-08-06 00:00:00,-2.2651,57.6778,12.9
2007-08-06 00:00:00,-2.0885,60.1346,11.5
2007-08-06 12:10:00,126.0356157,7.365123589,28.9
2007-08-07 00:00:00,74.0253,15.0296,25.9
2007-08-07 00:00:00,109.0241,32.677,26.7
2007-08-08 00:00:00,120.5763,16.4357,17.8
