event_date,longitude,latitude,humidity
1988-11-07 00:00:00,123.0319,13.5107,85.49
1993-06-04 06:00:00,-0.3913,54.267,81.3
1995-08-14 00:00:00,6.9932,46.4093,71.05
1996-12-26 00:00:00,-122.0991,45.5775,90.3
1996-12-26 00:00:00,-122.1828,45.5492,90.29
1997-01-01 00:00:00,-122.3848,47.6357,89.44
1997-01-01 00:00:00,-122.3807,47.5876,90.44
1997-01-01 00:00:00,-122.3811,47.636,89.48
1997-01-01 00:00:00,-122.4147,47.6422,89.13
1997-01-15 22:30:00,-122.3876,47.7968,58.14
1997-01-19 00:00:00,-122.6278,47.7888,94.05
1997-01-19 00:00:00,-122.6172,47.6495,94.0
1997-01-19 00:00:00,-122.5337,47.4296,93.37
1997-07-06 00:00:00,6.1098,49.8894,79.12
1998-12-28 00:00:00,-123.5669,45.223,67.65
1998-12-28 00:00:00,-123.602,45.2398,68.37
1998-12-28 00:00:00,-122.5584,47.3462,90.78
1998-12-28 00:00:00,-123.8399,45.266,73.49
1998-12-28 00:00:00,-123.9725,44.8383,94.41
1998-12-28 00:00:00,-123.8345,44.392,89.18
1998-12-28 00:00:00,-123.6046,45.2419,68.42
1998-12-28 00:00:00,-123.8107,45.2811,72.69
1998-12-28 00:00:00,-123.5356,44.4311,91.76
1998-12-28 00:00:00,-123.5676,45.2231,67.67
2003-10-16 00:00:00,-8.6064,53.0532,79.37
2003-11-09 09:00:00,-121.1267,48.7074,50.27
2004-11-29 00:00:00,121.6009,14.6568,88.96
2005-09-11 01:00:00,-121.4379104,47.42644308,87.53
2005-11-06 08:00:00,-121.3984,47.3983,84.85
2006-01-04 09:00:00,110.1969,-6.9343,85.17
2006-01-10 09:00:00,-122.3786,47.7573,88.88
2006-01-10 09:00:00,-122.3263,47.8961,89.92
2006-01-10 09:00:00,-122.7007,47.0708,89.43
2006-01-10 09:00:00,-122.2992,47.6656,87.29
2006-01-10 09:00:00,-122.4007,47.0645,89.71
2006-02-21 00:00:00,125.1085,10.3521,88.49
2006-02-28 09:00:00,-122.2374,47.5309,82.16
2006-11-07 09:00:00,-124.1207,44.1029,91.18
2006-12-14 00:00:00,-122.2199,47.6416,82.6
2006-12-15 23:00:00,-122.3232,47.6325,69.39
2006-12-26 23:00:00,-122.3793,47.7125,87.91
2007-01-02 00:00:00,-3.5875,54.5494,95.03
2007-01-05 00:00:00,-42.53636205,-22.28234635,83.43
