event_date,longitude,latitude,elevation
1988-11-07 00:00:00,123.0319,13.5107,42.0
1993-06-04 06:00:00,-0.3913,54.267,59.0
1995-08-14 00:00:00,6.9932,46.4093,1845.0
1996-12-26 00:00:00,-122.0991,45.5775,437.0
1996-12-26 00:00:00,-122.1828,45.5492,248.0
1997-01-01 00:00:00,-122.3848,47.6357,-3.0
1997-01-01 00:00:00,-122.3807,47.5876,45.0
1997-01-01 00:00:00,-122.3811,47.636,2.0
1997-01-01 00:00:00,-122.4147,47.6422,54.0
1997-01-15 22:30:00,-122.3876,47.7968,70.0
1997-01-19 00:00:00,-122.6278,47.7888,54.0
1997-01-19 00:00:00,-122.6172,47.6495,39.0
1997-01-19 00:00:00,-122.5337,47.4296,8.0
1997-07-06 00:00:00,6.1098,49.8894,223.0
1998-12-28 00:00:00,-123.5669,45.223,449.0
1998-12-28 00:00:00,-123.602,45.2398,228.0
1998-12-28 00:00:00,-122.5584,47.3462,25.0
1998-12-28 00:00:00,-123.8399,45.266,19.0
1998-12-28 00:00:00,-123.9725,44.8383,64.0
1998-12-28 00:00:00,-123.8345,44.392,50.0
1998-12-28 00:00:00,-123.6046,45.2419,265.0
1998-12-28 00:00:00,-123.8107,45.2811,119.0
1998-12-28 00:00:00,-123.5356,44.4311,158.0
1998-12-28 00:00:00,-123.5676,45.2231,442.0
2003-10-16 00:00:00,-8.6064,53.0532,116.0
2003-11-09 09:00:00,-121.1267,48.7074,732.0
2004-11-29 00:00:00,121.6009,14.6568,95.0
2005-09-11 01:00:00,-121.4379104,47.42644308,1039.0
2005-11-06 08:00:00,-121.3984,47.3983,806.0
2006-01-04 09:00:00,110.1969,-6.9343,10.0
2006-01-10 09:00:00,-122.3786,47.7573,36.0
2006-01-10 09:00:00,-122.3263,47.8961,41.0
2006-01-10 09:00:00,-122.7007,47.0708,17.0
2006-01-10 09:00:00,-122.2992,47.6656,11.0
2006-01-10 09:00:00,-122.4007,47.0645,135.0
2006-02-21 00:00:00,125.1085,10.3521,56.0
2006-02-28 09:00:00,-122.2374,47.5309,44.0
2006-11-07 09:00:00,-124.1207,44.1029,50.0
2006-12-14 00:00:00,-122.2199,47.6416,37.0
2006-12-15 23:00:00,-122.3232,47.6325,64.0
2006-12-26 23:00:00,-122.3793,47.7125,8.0
2007-01-02 00:00:00,-3.5875,54.5494,12.0
2007-01-05 00:00:00,-42.53636205,-22.28234635,892.0
2007-01-05 00:00:00,-42.6734,-22.0452,356.0
2007-01-05 00:00:00,-46.6136,-23.2311,923.0
2007-01-05 00:00:00,73.7062,33.5452,528.0
2007-01-08 00:00:00,114.917,4.9833,60.0
2007-01-08 00:00:00,100.9833,0.0667,59.0
2007-01-11 00:00:00,126.013,7.5314,128.0
2007-01-11 18:00:00,125.5401,3.5424,522.0
2007-01-13 00:00:00,-0.154356568,51.28876789,126.0
2007-01-13 00:00:00,80.7577,6.9658,2080.0
2007-01-14 00:00:00,52.1042,36.3667,677.0
2007-01-17 00:00:00,125.6732,8.6184,24.0
2007-01-18 00:00:00,120.917,17.1167,1412.0
2007-01-19 00:00:00,115.4786,29.3631,78.0
2007-02-04 00:00:00,-122.9765,50.1067,666.0
2007-02-06 00:00:00,106.1,-6.25,345.0
